# HeaderRows_6
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss UTC-08:00; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS real time clock.
# Pressure; millibars; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor.
# Air_Temperature; degree_celsius; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with silicon thermistor.
DateTime,Site_ID,Pressure,Air_Temperature
  2021-09-01 08:37:00,S38,937.947,16.82
  2021-09-01 08:38:00,S38,937.724,16.973
  2021-09-01 08:39:00,S38,938.016,17.126
  2021-09-01 08:40:00,S38,938.31,17.279
  2021-09-01 08:41:00,S38,937.903,17.533
  2021-09-01 08:42:00,S38,938.115,17.788
  2021-09-01 08:43:00,S38,937.891,17.94
  2021-09-01 08:44:00,S38,937.955,17.991
  2021-09-01 08:45:00,S38,938.15,17.94
  2021-09-01 08:46:00,S38,937.943,17.94
  2021-09-01 08:47:00,S38,938.098,17.94
  2021-09-01 08:48:00,S38,937.811,18.041
  2021-09-01 08:49:00,S38,937.822,18.092
  2021-09-01 08:50:00,S38,937.667,18.092
  2021-09-01 08:51:00,S38,938.006,17.991
  2021-09-01 08:52:00,S38,937.908,17.788
  2021-09-01 08:53:00,S38,938.028,17.635
  2021-09-01 08:54:00,S38,937.604,17.584
  2021-09-01 08:55:00,S38,937.966,17.584
  2021-09-01 08:56:00,S38,937.903,17.533
  2021-09-01 08:57:00,S38,937.736,17.483
  2021-09-01 08:58:00,S38,937.948,17.279
  2021-09-01 08:59:00,S38,938.08,17.177
  2021-09-01 09:00:00,S38,938.006,17.075
  2021-09-01 09:01:00,S38,937.954,17.075
  2021-09-01 09:02:00,S38,937.684,17.024
  2021-09-01 09:03:00,S38,938.074,16.922
  2021-09-01 09:04:00,S38,937.867,16.922
  2021-09-01 09:05:00,S38,937.66,16.922
  2021-09-01 09:06:00,S38,937.947,16.82
  2021-09-01 09:07:00,S38,937.718,16.718
  2021-09-01 09:08:00,S38,937.746,16.616
  2021-09-01 09:09:00,S38,937.424,16.565
  2021-09-01 09:10:00,S38,937.826,16.514
  2021-09-01 09:11:00,S38,937.671,16.514
  2021-09-01 09:12:00,S38,937.735,16.565
  2021-09-01 09:13:00,S38,937.62,16.514
  2021-09-01 09:14:00,S38,937.516,16.514
  2021-09-01 09:15:00,S38,937.711,16.463
  2021-09-01 09:16:00,S38,937.648,16.412
  2021-09-01 09:17:00,S38,937.584,16.361
  2021-09-01 09:18:00,S38,937.728,16.31
  2021-09-01 09:19:00,S38,937.716,16.258
  2021-09-01 09:20:00,S38,937.51,16.258
  2021-09-01 09:21:00,S38,937.499,16.207
  2021-09-01 09:22:00,S38,937.694,16.156
  2021-09-01 09:23:00,S38,937.784,16.105
  2021-09-01 09:24:00,S38,937.579,16.105
  2021-09-01 09:25:00,S38,937.682,16.105
  2021-09-01 09:26:00,S38,937.527,16.105
  2021-09-01 09:27:00,S38,937.63,16.105
  2021-09-01 09:28:00,S38,937.911,16.207
  2021-09-01 09:29:00,S38,937.55,16.207
  2021-09-01 09:30:00,S38,937.694,16.156
  2021-09-01 09:31:00,S38,937.808,16.207
  2021-09-01 09:32:00,S38,937.848,16.156
  2021-09-01 09:33:00,S38,937.744,16.156
  2021-09-01 09:34:00,S38,937.939,16.105
  2021-09-01 09:35:00,S38,937.824,16.054
  2021-09-01 09:36:00,S38,937.802,15.951
  2021-09-01 09:37:00,S38,937.852,15.951
  2021-09-01 09:38:00,S38,937.492,15.951
  2021-09-01 09:39:00,S38,938.047,15.9
  2021-09-01 09:40:00,S38,937.635,15.9
  2021-09-01 09:41:00,S38,937.79,15.9
  2021-09-01 09:42:00,S38,937.572,15.849
  2021-09-01 09:43:00,S38,937.612,15.798
  2021-09-01 09:44:00,S38,937.778,15.849
  2021-09-01 09:45:00,S38,937.767,15.798
  2021-09-01 09:46:00,S38,937.858,15.747
  2021-09-01 09:47:00,S38,937.858,15.747
  2021-09-01 09:48:00,S38,937.663,15.798
  2021-09-01 09:49:00,S38,937.663,15.798
  2021-09-01 09:50:00,S38,937.612,15.798
  2021-09-01 09:51:00,S38,937.6,15.747
  2021-09-01 09:52:00,S38,937.651,15.747
  2021-09-01 09:53:00,S38,937.743,15.695
  2021-09-01 09:54:00,S38,937.6,15.747
  2021-09-01 09:55:00,S38,937.382,15.695
  2021-09-01 09:56:00,S38,937.755,15.747
  2021-09-01 09:57:00,S38,937.56,15.798
  2021-09-01 09:58:00,S38,937.52,15.849
  2021-09-01 09:59:00,S38,937.532,15.9
  2021-09-01 10:00:00,S38,937.944,15.9
  2021-09-01 10:01:00,S38,937.802,15.951
  2021-09-01 10:02:00,S38,937.647,15.951
  2021-09-01 10:03:00,S38,937.555,16.003
  2021-09-01 10:04:00,S38,937.555,16.003
  2021-09-01 10:05:00,S38,937.71,16.003
  2021-09-01 10:06:00,S38,937.555,16.003
  2021-09-01 10:07:00,S38,937.607,16.003
