Column_or_Row_Name,Unit,Definition,Term_Type,Data_Type
Air_Temperature,degree Celsius,Air temperature.,column_header,numeric
Air_Temperature_Max,degree Celsius,Air temperature maximum.,column_header,numeric
Air_Temperature_Mean,degree Celsius,Air temperature mean.,column_header,numeric
Air_Temperature_Median,degree Celsius,Air temperature median.,column_header,numeric
Air_Temperature_Min,degree Celsius,Air temperature minimum.,column_header,numeric
Algal_Mat_Coverage,percent,Estimated algal mat cover on riverbed. One of the following classes may be selected: >70%; 30-70%; 5-30%; or none.,column_header,text
Battery,volts,Remaining sensor internal battery voltage.,column_header,numeric
Battery_1,volts,Remaining sensor internal battery voltage from miniDOT 1.,column_header,numeric
Battery_2,volts,Remaining sensor internal battery voltage from miniDOT 2.,column_header,numeric
Battery_3,volts,Remaining sensor internal battery voltage from miniDOT 3.,column_header,numeric
Canopy_Coverage,percent,Estimated canopy cover over the river only. Total riparian zone canopy cover does not apply. One of the following classes may be selected: >70%; 30-70%; 5-30%; or none.,column_header,text
Column_or_Row_Name,N/A,Column or row headers from each csv file in the dataset.,column_header,text
Country,N/A,Country where sample was collected.,column_header,text
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,column_header,text
Date,N/A,Data collection date.,column_header,date
Date_End,YYYY-MM-DD,The latest date in the file. ,column_header,date
Date_Start,YYYY-MM-DD,The earliest date in the file.,column_header,date
DateTime,YYYY-MM-DD hh:mm:ss,Date and time of measurement completed to the known precision. Recorded in Pacific Standard Time. UTC offset is reported in the data file(s) header row for the column.,column_header,datetime
DateTime_End,YYYY-MM-DD hh:mm:ss,The latest datetime in the timeseries that was summarized.,column_header,datetime
DateTime_Start,YYYY-MM-DD hh:mm:ss,The earliest datetime in the timeseries that was summarized.,column_header,datetime
Definition,N/A,Description of the information in a given column in the dataset.,column_header,text
Dissolved_Oxygen_1,milligrams per liter,Dissolved oxygen from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_1_Max,milligrams per liter,Dissolved oxygen maximum from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_1_Mean,milligrams per liter,Dissolved oxygen mean from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_1_Median,milligrams per liter,Dissolved oxygen median from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_1_Min,milligrams per liter,Dissolved oxygen minimum from miniDOT 1. ,column_header,numeric
Dissolved_Oxygen_1_NRMSE,N/A,The normalized root mean square error (NRMSE) for the linear regression of miniDOT 1 dissolved oxygen data against time.,column_header,numeric
Dissolved_Oxygen_1_RMSE,milligrams per liter,The root mean square error (RMSE) for the linear regression of miniDOT 1 dissolved oxygen data against time.,column_header,numeric
Dissolved_Oxygen_1_Rsquared,N/A,R-squared value for the linear regression of miniDOT 1 dissolved oxygen data against time.,column_header,numeric
