#Samples have International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Locality,Country,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type,Physiographic_Feature_Name,State_or_Province
SPS_0001,IEPRS009V,IEPRS008G,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.028244,-120.611858,stream,S37,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0001_RNA,IEPRS00B6,IEPRS008G,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.028244,-120.611858,stream,S37,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0003,IEPRS00AC,IEPRS008X,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.53837,-120.480372,stream,S82,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Ahtanum Creek,Washington
SPS_0003_RNA,IEPRS00BN,IEPRS008X,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.53837,-120.480372,stream,S82,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Ahtanum Creek,Washington
SPS_0004,IEPRS009U,IEPRS008F,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.314573,-120.199171,stream,S36,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Toppenish Creek,Washington
SPS_0004_RNA,IEPRS00B5,IEPRS008F,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.314573,-120.199171,stream,S36,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Toppenish Creek,Washington
SPS_0006,IEPRS009S,IEPRS008D,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.205978,-120.480969,stream,S31,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Logy Creek,Washington
SPS_0006_RNA,IEPRS00B3,IEPRS008D,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.205978,-120.480969,stream,S31,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Logy Creek,Washington
SPS_0007,IEPRS00A3,IEPRS008O,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.041823,-120.573226,stream,S63,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0007_RNA,IEPRS00BE,IEPRS008O,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.041823,-120.573226,stream,S63,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0008,IEPRS009T,IEPRS008E,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.23559571,-120.4191547,stream,S32,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0008_RNA,IEPRS00B4,IEPRS008E,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.23559571,-120.4191547,stream,S32,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0009,IEPRS009X,IEPRS008I,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.016704,-120.649701,stream,S39,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0009_RNA,IEPRS00B8,IEPRS008I,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.016704,-120.649701,stream,S39,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0010,IEPRS009W,IEPRS008H,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.029003,-120.636526,stream,S38,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Unnamed Tributary,Washington
SPS_0010_RNA,IEPRS00B7,IEPRS008H,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.029003,-120.636526,stream,S38,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Unnamed Tributary,Washington
SPS_0012,IEPRS009R,IEPRS008C,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.09521496,-120.5482254,stream,S30R,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0012_RNA,IEPRS00B2,IEPRS008C,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.09521496,-120.5482254,stream,S30R,United States,US Department of Energy River Corridor Science Focus Area,"Stephanie_Fulton, Josh_Torgeson", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Satus Creek,Washington
SPS_0014,IEPRS009D,IEPRS007Y,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.394429,-121.10174,stream,S17R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Cooper River,Washington
SPS_0014_RNA,IEPRS00AO,IEPRS007Y,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.394429,-121.10174,stream,S17R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Cooper River,Washington
SPS_0015,IEPRS009C,IEPRS007X,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.363498,-121.106919,stream,S15,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Thorp Creek,Washington
SPS_0015_RNA,IEPRS00AN,IEPRS007X,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.363498,-121.106919,stream,S15,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Thorp Creek,Washington
SPS_0016,IEPRS009H,IEPRS0082,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.19028,-121.01556,stream,S20R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Cle Elum River,Washington
SPS_0016_RNA,IEPRS00AS,IEPRS0082,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.19028,-121.01556,stream,S20R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Cle Elum River,Washington
SPS_0017,IEPRS009J,IEPRS0084,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.185944,-120.918817,stream,S23,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0017_RNA,IEPRS00AU,IEPRS0084,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.185944,-120.918817,stream,S23,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0019,IEPRS009E,IEPRS007Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.39603,-121.096933,stream,S18R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Cle Elum River,Washington
SPS_0019_RNA,IEPRS00AP,IEPRS007Z,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.39603,-121.096933,stream,S18R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Cle Elum River,Washington
SPS_0020,IEPRS009N,IEPRS0088,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.260155,-121.176851,stream,S27R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Silver Creek,Washington
SPS_0020_RNA,IEPRS00AY,IEPRS0088,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.260155,-121.176851,stream,S27R,United States,US Department of Energy River Corridor Science Focus Area,"Mikayla_Borton, James_Stegen", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Silver Creek,Washington
