File_Name,File_Description,Standard,Start_Date,End_Date,Missing_Value_Codes,File_Path
v2_readme_SPS_Spatial_Sample.pdf,"Data package level readme. Contains data package summary, acknowledgements, and contact information.",N/A,-9999,-9999,N/A,/v2_SFA_SpatialStudy_2021_SampleData
v2_SPS_DIC.csv,"Dissolved inorganic carbon (DIC) from water samples. Methods information is embedded with methods codes that are defined in SPS_Methods_Codes.csv. The file follows the ESS-DIVE Reporting Format for Soil, Sediment, and Water Chemistry data (Boye et al. 2022).","ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Soil, Sediment, and Water Chemistry (Boye et al. 2022)", 2021-08-30, 2021-09-15,N/A; -9999,/v2_SFA_SpatialStudy_2021_SampleData
SPS_FTICR.csv,Methods information for FTICR is embedded with methods codes in this file. FTICR data can be found in the FTICR folder.,"ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Soil, Sediment, and Water Chemistry (Boye et al. 2022)", 2021-08-30, 2021-09-15,N/A; -9999,/v2_SFA_SpatialStudy_2021_SampleData
v2_SPS_Ions.csv,"Ions from water samples. Methods information is embedded with methods codes that are defined in SPS_Methods_Codes.csv. The file follows the ESS-DIVE Reporting Format for Soil, Sediment, and Water Chemistry data (Boye et al. 2022).","ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Soil, Sediment, and Water Chemistry (Boye et al. 2022)", 2021-08-30, 2021-09-15,N/A; -9999,/v2_SFA_SpatialStudy_2021_SampleData
v2_SPS_Methods_Codes.csv,Definitions of methods codes used in chemistry data.,"ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Soil, Sediment, and Water Chemistry (Boye et al. 2022)",-9999,-9999,N/A,/v2_SFA_SpatialStudy_2021_SampleData
v2_SPS_NPOC_TN.csv,"Dissolved organic carbon (DOC; reported as non-purgeable organic carbon; NPOC) and total nitrogen (TN) from water samples. Methods information is embedded with methods codes that are defined in SPS_Methods_Codes.csv. The file follows the ESS-DIVE Reporting Format for Soil, Sediment, and Water Chemistry data (Boye et al. 2022).","ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Soil, Sediment, and Water Chemistry (Boye et al. 2022)", 2021-08-30, 2021-09-15,N/A; -9999,/v2_SFA_SpatialStudy_2021_SampleData
v2_SPS_NPOC_TN_DIC_TSS_Ions_Summary.csv,"Mean dissolved organic carbon (DOC; reported as non-purgeable organic carbon; NPOC); total nitrogen (TN);  dissolved inorganic carbon (DIC); total suspended solids (TSS); and ions from water samples. For each sampling event (e.g. SPS_0005), the  values of each of the three biological replicates for a given measurement (e.g. SPS_0005_OCN-1; SPS_0005_OCN-2; SPS_0005_OCN-3) are averaged. Any replicate values that were an outlier (using distance-based outlier detection) or above/below the limit of detection are not included in the mean. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. Some sample types were not collected with replicates (i.e. TSS).",ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2021-08-30, 2021-09-15,N/A; -9999,/v2_SFA_SpatialStudy_2021_SampleData
SPS_Sample_dd.csv,Data dictionary that defines columns headers across all csv files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021),-9999,-9999,N/A,/v2_SFA_SpatialStudy_2021_SampleData
SPS_Sample_Field_Metadata.csv,Sample metadata including sample name information for each vial used during the campaign and accompanying information captured in the field (i.e. coordinates; date; stream name).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021), 2021-08-30, 2021-09-15,N/A; -9999,/v2_SFA_SpatialStudy_2021_SampleData
v2_SPS_Sample_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for File-level Metadata (2021),-9999,-9999,N/A,/v2_SFA_SpatialStudy_2021_SampleData
