Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
Data_Status,raw,N/A,Raw spectra were converted to a list of mass values by applying the Bruker Daltonik's Data Analysis software FTMS peak picker module (see FTICR instructions folder for details). Peaks have not been aligned and chemical formulas have not been assigned. The data user can follow the instructions within the FTICR instructions folder to process the data to their needed specifications.,N/A,N/A
Data_Status,ready_to_use,N/A,The data have been evaluated and are ready to use,N/A,N/A
DIC_Typical,DIC_T_AN_001,MethodID_Analysis,Best 3 of 4 injections; Accepted deviation up to 0.1 milligram_per_liter or 2 percent coefficient of variation;  Injection volume: 150 microliters; Furnace temperature: 720 degC; Standard concentration ranges 0-40 milligrams_Carbon_per_liter,Shimadzu TOC-L with TNM-L,Pacific Northwest National Laboratory (PNNL) – Sequim
DIC_Typical,DIC_T_DP_001,MethodID_DataProcessing,Manually checked data and calibration curves prior to uploading data. Raw data was processed through a data evaluation script that flagged samples below limit of detection and outside of the standard curve. The coefficient of variation (CV) was calculated among replicates; samples were flagged if CV was outside a given threshold. The flags indicate the limits of detection and CV where applicable.,N/A,Pacific Northwest National Laboratory (PNNL)
DIC_Typical,DIC_T_IN_001,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
DIC_Typical,DIC_T_PREP_001,MethodID_Preparation,Samples were brought to room temperature before analysis. Samples were diluted if concentrations were anticipated to be too high for instrument responses.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
DIC_Typical,DIC_T_PRES_001,MethodID_Preservation,Samples were filtered in the field to 0.22 microns and kept at 4 degC until analysis for no longer than one month.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
DIC_Typical,DIC_T_ST_001,MethodID_Storage,Vials were placed on blue ice after collection and then stored at 4 degC (refrigerator) until they were transferred or shipped to PNNL – Sequim Campus. Vials were placed under blue ice while in transit. At PNNL – Sequim Campus they were stored at 4 degC.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
IC_Method_QA_QC,Ca_CV_030,MethodID_DataProcessing,Calcium coefficient of variation (CV) was higher than the set threshold. Threshold value is listed after the underscore in the flag text.,N/A,Pacific Northwest National Laboratory (PNNL)
IC_Method_QA_QC,Cl_CV_030,MethodID_DataProcessing,Chloride coefficient of variation (CV) was higher than the set threshold. Threshold value is listed after the underscore in the flag text.,N/A,Pacific Northwest National Laboratory (PNNL)
