Sample_Name,Site_ID,Date,Time_Zone,Field_Staff,Time_Arriving,Time_Leaving,Weather,Vegetation,Stream_Hydrogeomorphology,Stream_Gradient,Dominant_Sediment_Type,Canopy_Coverage,Macrophyte_Coverage,Algal_Mat_Coverage,Latitude,Longitude,GPS_Accuracy,Notes
SPS_0001,S37, 2021-08-30,PST,Stephanie_Fulton; Josh_Torgeson,12:55,14:43,Sunny,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),Low,None,Low,46.028244,-120.611858,16,N/A
SPS_0003,S82, 2021-09-03,PST,Stephanie_Fulton; Josh_Torgeson,8:35,12:30,Sunny; Lots of smoke in the morning ,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,Low,None,46.53837,-120.480372,13,Appears to be relatively high quality stream with very clear water; no algal mats and saw several schools of fish. Site is surrounded by a grassy park next to a road crossing. Pockets of tall cane in riparian zone. Canopy cover is patchy. 
SPS_0004,S36, 2021-09-02,PST,Stephanie_Fulton; Josh_Torgeson,10:37,13:05,Sunny; Wildfire Smoke/ Haze,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,Med,None,46.314573,-120.199171,23,Toppenish River is part of a larger river like wetland complex. High density bank to bank coverage of milfoil. Slow moving water variable depth. Yakima Nation gauging station is located here. Dense riparian corridor of wilfoil and other shrubbery and trees. Some macrophytes in some locations/ only covers about 5-10% of channel. Substrate covered again in dense later of biomass/biofilm (30-70%). 
SPS_0006,S31, 2021-09-01,PST,Stephanie_Fulton; Josh_Torgeson,11:05,13:41,Sunny; Slightly smoky,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,None,None,46.205978,-120.480969,16,"Site is on an unnamed tributary to Satus Creek and runs through a valley that was the site of a former ranch (cattle/sheep). Significant alteration/removal of the riparian zone along right bank: cattle etc. Algal Mat Heavy biomass/biofilm on channel substrate but not sure if considered to be ""algal mat"". "
SPS_0007,S63, 2021-08-31,PST,Stephanie_Fulton; Josh_Torgeson,8:34,11:10,Sunny,Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively steep gradient (e.g. mountainous or hilly terrain),Bedrock (primarily),Low,Low,None,46.041823,-120.573226,16,"Riparian veg cover only shades edges of channel. Vegetation includes sedges; alder; willow; firewood. Channel aprox 6-7 meters wide an 0.5 - 1.5 m deep. ""Algal mat cover"" no algal mat cover per se but very thick biomass/algae on channel substrate. "
SPS_0008,S32, 2021-09-02,PST,Stephanie_Fulton; Josh_Torgeson,7:40,10:10,Sunny; Hazy smoke,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),Low,None,None,46.23559571,-120.4191547,16,Per other Satus creek sites the channel substrate heavily coated w/ biofilm (algal mat?). Site is located 50-75 m upstream of road crossing bridge. Channel is extremely incised with 3-4 m vertical banks consisting of what may be unconsolidated alluvial fill in what may be an old channel bed. Right bank higher density riparian zone and channel canopy than left bank as well as lower and more stable bank height.  
SPS_0009,S39, 2021-08-30,PST,Stephanie_Fulton; Josh_Torgeson,8:19,12:14,Sunny,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),Low,None,None,46.016704,-120.649701,16,N/A
SPS_0010,S38, 2021-09-01,PST,Stephanie_Fulton; Josh_Torgeson,8:09,10:40,Sunny; some smoke,Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),High,Low,Med,46.029003,-120.636526,21, Stream has more water flow than originally thought; flow either becomes substrate or collects in pools. Higher gradient sections have surface flow in some cases greater than minimal flow. considering extreme drought conditions
SPS_0012,S30R, 2021-08-31,PST,Stephanie_Fulton; Josh_Torgeson,11:22,14:01,Sunny,Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),Low,Low,Low,46.09521496,-120.5482254,13,Some sections with 6m bedrock wall along left bank. step pools/ cascades 50-75m upstream. Narrow fringe of riparian corridor provides scattered shade. Macrophytes = sedges  
SPS_0014,S17R, 2021-08-31,PST,Mikayla_Borton; James_Stegen,6:38,10:00,Partly cloudy,Needleleaf evergreen tree; Broadleaf deciduous tree,Multi-channel,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),None,None,Low,47.394429,-121.10174,21,Riparian zone some sand and lots of down branches
