Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
00000_NH4_mg_per_L_as_NH4,milligrams_per_liter,Ammonium reported as ammonium (rather than as nitrogen). 5-digit prefix typically refers to a US Geological Survey (USGS) parameter code in the column headers of this data package. The USGS does not have a parameter code for ammonium that is appropriate so 00000 is used as a placeholder to keep column name formats consistent.,numeric,column_header
00530_TSS_mg_per_L,milligrams_per_liter,Total suspended solids. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00602_TN_mg_per_L_as_N,milligrams_per_liter,Total dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00653_PO4_mg_per_L_as_PO4,milligrams_per_liter,Phosphate reported as phosphate (rather than as phosphorus). 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00681_NPOC_mg_per_L_as_C,milligrams_per_liter,Dissolved organic carbon (DOC) reported as non-purgeable organic carbon (NPOC) and reported as carbon.  5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00691_DIC_mg_per_L_as_C,milligrams_per_liter,Dissolved inorganic carbon reported as carbon. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00915_Ca_mg_per_L,milligrams_per_liter,Calcium. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00925_Mg_mg_per_L,milligrams_per_liter,Magnesium. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00930_Na_mg_per_L,milligrams_per_liter,Sodium. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00935_K_mg_per_L,milligrams_per_liter,Potassium. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00940_Cl_mg_per_L,milligrams_per_liter,Chloride. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00945_SO4_mg_per_L_as_SO4,milligrams_per_liter,Sulfate reported as sulfate (rather than as sulfur). 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00950_F_mg_per_L,milligrams_per_liter,Fluoride. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
01130_Li_mg_per_L,milligrams_per_liter,Lithium. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
71851_NO3_mg_per_L_as_NO3,milligrams_per_liter,Nitrate reported as nitrate (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
71856_NO2_mg_per_L_as_NO2,milligrams_per_liter,Nitrite reported as nitrite (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
71870_Br_mg_per_L,milligrams_per_liter,Bromide. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
Algal_Mat_Coverage,percent,Estimated algal mat cover on riverbed. One of the following classes may be selected: >70%; 30-70%; 5-30%; or none.,text,column_header
Analysis_DetectionLimit,milligrams_per_liter,Analytical detection limit.,numeric,row_header
Analysis_Precision,N/A,Precision of the data values.,numeric,row_header
Canopy_Coverage,percent,Estimated canopy cover over the river only. Total riparian zone canopy cover does not apply. One of the following classes may be selected: >70%; 30-70%; 5-30%; or none.,text,column_header
Collection_Date,YYYY-MM-DD,Date of sample collection.,date,column_header
Collection_Method,N/A,Method of sample collection registered in the SESAR system (controlled vocabulary from SESAR).,text,column_header
Collection_Method_Description,N/A,Description of how sample was collected.,text,column_header
Collector_Chief_Scientist,N/A,Name of person who collected the sample.,text,column_header
Column_or_Row_Name,N/A,Column headers from each csv file in the dataset.,text,column_header
Comment,N/A,Name of study associated with sample.,text,column_header
Country,N/A,Country where sample was collected.,text,column_header
Data_Status,N/A,State of data readiness for publication and use.,text,row_header
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header
Date,MM-DD-YYYY,Data collection date.,date,column_header
Definition,N/A,Description of the information in a given column in the dataset.,text,column_header
Dominant_Sediment_Type,N/A,Estimated dominant sediment type/size class of streambed. Size/type classes include gravel/cobble (>2mm); sand; silt/mud (<0.0625mm); or bedrock (primarily).,text,column_header
End_Date,YYYY-MM-DD,The latest date in the file.,date,column_header
Field_Name,N/A,Name of field of header rows before data,text,column_header
Field_Name_Informal_Classification,N/A,Informal classification of sample.,text,column_header
Field_Program_Cruise,N/A,Name of field program or cruise registered in the SESAR system.,text,column_header
Field_Staff,N/A,"The name of field staff involved in data collection; recorded as ""FirstName_LastName"" and separated by semicolons.",text,column_header
File_Description,N/A,A brief description of the files in the dataset/data package.,text,column_header
File_Name,N/A,Name of files in the dataset/data package.,text,column_header
File_Path,N/A,File path within the data package.,text,column_header
FTICR-MS,N/A,Fourier transform ion cyclotron resonance mass spectrometry (FTICR-MS).,numeric,column_header
GPS_Accuracy,feet,Accuracy of GPS location data accuracy; measured in feet.,numeric,column_header
IGSN,N/A,International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). ,text,column_header
