File_Name,File_Description,Standard,Date_Start,Date_End,Missing_Value_Codes,File_Path
v3_readme_SPS_Spatial_Sample.pdf,"Data package level readme. Contains data package summary, acknowledgements, and contact information.",N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SampleData
v2_SPS_Sample_dd.csv,Data dictionary that defines columns headers across all comma-separated values (CSV) files contained in the data package.,ESS-DIVE CSV v1,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SampleData
v3_SPS_Sample_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE CSV v1; ESS-DIVE FLMD v1,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SampleData
SPS_Sample_Field_Metadata.csv,Sample metadata including sample name information for each vial used during the campaign and accompanying information captured in the field (i.e. coordinates; date; stream name).,ESS-DIVE CSV v1, 2021-08-30, 2021-09-15,N/A; -9999,/v3_SFA_SpatialStudy_2021_SampleData
SPS_Sample_IGSN-Mapping.csv,File that maps between sample names and registered International Geo Sample Numbers (IGSNs). Includes metadata required by ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020). Some fields are repeated from the field metadata. In compliance with the ESS-DIVE Location Metadata Reporting Format (Crystal-Ornelas et al. 2022) the Submission_Contact_Name; Submission_Contact_Email; Location_ID; Description; Latitude; and Longitude can all be found in the Dataset Metadata associated with this data package (and found on the ESS-DIVE landing page). The Location_ID; Latitude; and Longitude can also be found in WHONDRS_STL_IGSN-Mapping.csv as Locality; Latitude; and Longitude; respectively. There is no separate file associated with the ESS-DIVE Location Metadata Reporting Format.,ESS-DIVE CSV v1; ESS-DIVE Sample v1, 2021-08-30, 2021-09-15,N/A; -9999,/v3_SFA_SpatialStudy_2021_SampleData
SPS_Spatial_Sampling_Protocol.pdf,Step-by-step instructions used to complete the sampling in the field.,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SampleData
SPS_Spatial_Sensor_Protocol.pdf,Step-by-step instructions used to complete the sensor deployment in the field.,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SampleData
SPS_Water_B5CA_B6CA_Conc_Isotopes.csv,Benzene polycarboxylic acids (BPCA) concentration and compound specific stable isotopic composition of carbon (delta carbon-13/carbon-12) in benzenepentacarboxylic acid (B5CA) and benzenehexacarobyxlic acid (B6CA) from water samples. Methods information is embedded with methods codes that are defined in v*_SPS_Methods_Codes.csv.  The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2021-08-30, 2021-09-15,N/A; -9999,/v3_SFA_SpatialStudy_2021_SampleData
v2_SPS_Water_FTICR_Methods.csv,Fourier-transform ion cyclotron resonance mass spectrometer (FTICR-MS) methods information embedded with method codes that are defined in v*_SPS_. Data and instructions can be found in the FTICR folder. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2021-08-30, 2021-09-15,N/A; -9999,/v3_SFA_SpatialStudy_2021_SampleData
v3_SPS_Water_Sample_Data_Summary.csv,"Mean dissolved organic carbon (DOC; reported as non-purgeable organic carbon; NPOC); mean total nitrogen (TN); mean dissolved inorganic carbon (DIC); total suspended solids (TSS); ions; benzene polycarboxylic acids (BPCA); compound specific stable isotopic composition of carbon (delta carbon-13/carbon-12) in benzenepentacarboxylic acid (B5CA) and benzenehexacarobyxlic acid (B6CA) from water samples. For each sampling event (e.g. SPS_0005_Water), the  values of each of the three biological replicates for a given measurement (e.g. SPS_0005_OCN-1; SPS_0005_OCN-2; SPS_0005_OCN-3) are averaged. Any replicate values that were an outlier (using distance-based outlier detection) or above/below the limit of detection are not included in the mean. The ""Mean_Missing_Reps"" column indicates if a mean does not include all three replicates using a TRUE/FALSE flag where TRUE indicates one or more replicates are missing from the mean. Some sample types only have one replicate (i.e. TSS, Ions, BPCA, and BPCA isotopes) so the data reported in this file is not an average; therefore the values for SPS_0001_Water is the same as SPS_0001_ION-1; SPS_0001_TSS-1; and SPS_0001_GRA-1 for these data types.",ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2021-08-30, 2021-09-15,N/A; -9999,/v3_SFA_SpatialStudy_2021_SampleData
v2_SPS_Water_TSS.csv,Total suspended solids (TSS) from water samples. Methods information is embedded with methods codes that are defined in v*_SPS_Methods_Codes.csv.  The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2021-08-30, 2021-09-15,N/A; -9999,/v3_SFA_SpatialStudy_2021_SampleData
v3_SPS_Methods_Codes.csv,Definitions of methods codes used in chemistry data.,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SampleData
v3_SPS_Water_DIC.csv,Dissolved inorganic carbon (DIC) from water samples. Methods information is embedded with methods codes that are defined in v*_SPS_Methods_Codes.csv.  The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2021-08-30, 2021-09-15,N/A; -9999,/v3_SFA_SpatialStudy_2021_SampleData
