Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
BPCA_Typical,BPCA_T_IN_000,MethodID_Inspection,"Filtered water samples were  subject to solid phase extraction (Dittmar 2008 doi: 10.4319/lom.2008.6.230). Briefly, enough volume to load 20 milligrams of Carbon was passed through preconditioned SPE cartridges (methanol followed by pH 2 water). Once the sample was loaded, the cartridge was further rinsed with pH 2 water, vacuum dried, and eluted with methanol.",N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
BPCA_Typical,BPCA_T_ST_000,MethodID_Storage,Methanol extracts were stored at -80 degrees Celius,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
BPCA_Typical,BPCA_T_PRES_000,MethodID_Preservation,No additional preservation performed,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
BPCA_Typical,BPCA_T_PREP_000,MethodID_Preparation,"Methanol extracts were diluted to 0.5 milligrams of carbon per liter and shipped from PNNL to colleagues at Rensselaer Polytech Institute (RPI). To prepare for BPCA analysis, methanol aliquots were dried in glass ampules, redissolved in nitric acid, and subject to heating at 160 degrees Celsius for 6 hours. Once complete, nitric acid was dried and the remaining sample powder was redissolved in the appropriate mobile phase for analysis. More specific details are available in Barton & Wagner (2022) doi: 10.1371/journal.pone.0268059.",N/A,Rensselaer Polytech Institute
BPCA_Typical,BPCA_T_AN_000,MethodID_Analysis,"Individual benzene polycarboxylic acids (BPCAs) were quantified by high performance liquid chromatography. Methodological details are provided by Wagner et al., 2017 doi: 10.1002/lom3.10219",Thermo Scientific Dionex UltiMate 3000,Rensselaer Polytech Institute
BPCA_Typical,BPCA_T_DP_000,MethodID_DataProcessing,Individual samples were put through the oxidative process in triplicates. Replicates were averaged together and considered acceptable with a Coefficient of Variation less than 10 percent.,N/A,Rensselaer Polytech Institute
BPCAdel13_Typical,BPCAdel13_T_IN_000,MethodID_Inspection,"Filtered water samples were  subject to solid phase extraction (Dittmar 2008 doi: 10.4319/lom.2008.6.230). Briefly, enough volume to load 20 milligrams of Carbon was passed through preconditioned SPE cartridges (methanol followed by pH 2 water). Once the sample was loaded, the cartridge was further rinsed with pH 2 water, vacuum dried, and eluted with methanol.",N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
BPCAdel13_Typical,BPCAdel13_T_ST_000,MethodID_Storage,Methanol extracts were stored at -80 degrees Celius,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
BPCAdel13_Typical,BPCAdel13_T_PRES_000,MethodID_Preservation,No additional preservation performed,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
BPCAdel13_Typical,BPCAdel13_T_PREP_000,MethodID_Preparation,"Methanol extracts were diluted to 0.5 milligrams of carbon per liter and shipped from PNNL to colleagues at Rensselaer Polytech Institute (RPI). To prepare for BPCA analysis, methanol aliquots were dried in glass ampules, redissolved in nitric acid, and subject to heating at 160 degrees Celsius for 6 hours. Once complete, nitric acid was dried and the remaining sample powder was redissolved in the appropriate mobile phase for analysis. More specific details are available in Barton & Wagner (2022) doi: 10.1371/journal.pone.0268059.",N/A,Rensselaer Polytech Institute
BPCAdel13_Typical,BPCAdel13_T_AN_000,MethodID_Analysis,"The stable carbon isotopic composition of individual benzene polycarboxylic acids (BPCAs) were determined by high performance liquid chromatography isotope ratio mass spectrometry. Methodological details are provided by Wagner et al., 2017 doi: 10.1002/lom3.10219",Thermo Scientific Dionex UltiMate 3000,Rensselaer Polytech Institute
BPCAdel13_Typical,BPCAdel13_T_DP_000,MethodID_DataProcessing,Individual samples were put through the oxidative process in triplicates. Replicates were averaged together and considered acceptable with a Coefficient of Variation less than 10 percent.,N/A,Rensselaer Polytech Institute
DIC_Typical,DIC_T_IN_000,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
DIC_Typical,DIC_T_ST_000,MethodID_Storage,Vials were placed on blue ice after collection and then stored at 4 degC (refrigerator) until they were transferred or shipped to PNNL – Richland Campus.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
DIC_Typical,DIC_T_PRES_000,MethodID_Preservation,Samples were filtered in the field to 0.22 micrometer and kept at 4 degC until analysis.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
DIC_Typical,DIC_T_PREP_000,MethodID_Preparation,Samples were brought to room temperature before analysis. Samples were diluted if concentrations were anticipated to be too high for instrument responses.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
