Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
00530_TSS_mg_per_L,milligrams_per_liter,"Total suspended solids. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
00602_TN_mg_per_L_as_N,milligrams_per_liter,"Total dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
00681_NPOC_mg_per_L_as_C,milligrams_per_liter,"Dissolved organic carbon (DOC) reported as non-purgeable organic carbon (NPOC) and reported as carbon.  5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
00691_DIC_mg_per_L_as_C,milligrams_per_liter,"Dissolved inorganic carbon reported as carbon. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
00940_Cl_mg_per_L,milligrams_per_liter,"Chloride. 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
00945_SO4_mg_per_L_as_SO4,milligrams_per_liter,"Sulfate reported as sulfate (rather than as sulfur). 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
71851_NO3_mg_per_L_as_NO3,milligrams_per_liter,"Nitrate reported as nitrate (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
71856_NO2_mg_per_L_as_NO2,milligrams_per_liter,"Nitrite reported as nitrite (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
Algal_Mat_Coverage,percent,Estimated algal mat cover on riverbed. One of the following classes may be selected: Low; Medium; or None.,text,column_header
Analysis_DetectionLimit,milligrams_per_liter,Analytical detection limit.,numeric,row_header
Analysis_Precision,N/A,Precision of the data values.,numeric,row_header
B5CA_del13C_per_mil,per_mil,"Compound specific delta 13 C in water samples. Stable isotopic composition of carbon (delta carbon-13/carbon-12) in Benzenepentacarobyxlic acid (B5CA). Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
