#Columns,16
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,B6CA_micromol_per_liter,B5CA_micromol_per_liter,B6CA_del13C_per_mil,B5CA_del13C_per_mil,00530_TSS_mg_per_L,Mean_00691_DIC_mg_per_L_as_C,00940_Cl_mg_per_L,00945_SO4_mg_per_L_as_SO4,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,Mean_00681_NPOC_mg_per_L_as_C,Mean_00602_TN_mg_per_L_as_N,Mean_Missing_Reps
Unit,N/A,N/A,N/A,micromol_per_liter,micromol_per_liter,per_mil,per_mil,milligrams_per_liter_water,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_Benzenehexacarobyxlic_Acid,as_Benzenepentacarboxylic_Acid,relative_to_Vienna_Pee_Dee_Belemnite,relative_to_Vienna_Pee_Dee_Belemnite,as_mg_solids_per_L,as_Carbon,as_Chloride,as_Sulfate,as_Nitrate,as_Nitrite,as_dissolvable_Carbon,as_dissolvable_Nitrogen,N/A
MethodID_Analysis,N/A,N/A,N/A,BPCA_T_AN_000,BPCA_T_AN_000,BPCAdel13_T_IN_000,BPCAdel13_T_IN_000,TSS_T_AN_000,DIC_T_AN_000,ION_T_AN_006,ION_T_AN_006,ION_T_AN_006,ION_T_AN_006,NPOC_T_AN_000,TN_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,N/A,BPCA_T_IN_000,BPCA_T_IN_000,BPCAdel13_T_ST_000,BPCAdel13_T_ST_000,TSS_T_IN_000,DIC_T_IN_000,ION_T_IN_006,ION_T_IN_006,ION_T_IN_006,ION_T_IN_006,NPOC_T_IN_000,TN_T_IN_000,N/A
MethodID_Storage,N/A,N/A,N/A,BPCA_T_ST_000,BPCA_T_ST_000,BPCAdel13_T_PRES_000,BPCAdel13_T_PRES_000,TSS_T_ST_000,DIC_T_ST_000,ION_T_ST_006,ION_T_ST_006,ION_T_ST_006,ION_T_ST_006,NPOC_T_ST_000,TN_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,N/A,BPCA_T_PRES_000,BPCA_T_PRES_000,BPCAdel13_T_PREP_000,BPCAdel13_T_PREP_000,TSS_T_PRES_000,DIC_T_PRES_000,ION_T_PRES_006,ION_T_PRES_006,ION_T_PRES_006,ION_T_PRES_006,NPOC_T_PRES_000,TN_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,N/A,BPCA_T_PREP_000,BPCA_T_PREP_000,BPCAdel13_T_AN_000,BPCAdel13_T_AN_000,TSS_T_PREP_000,DIC_T_PREP_000,ION_T_PREP_006,ION_T_PREP_006,ION_T_PREP_006,ION_T_PREP_006,NPOC_T_PREP_000,TN_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,N/A,BPCA_T_DP_000,BPCA_T_DP_000,BPCAdel13_T_DP_000,BPCAdel13_T_DP_000,TSS_T_DP_000,DIC_T_DP_000,ION_T_DP_006,ION_T_DP_006,ION_T_DP_006,ION_T_DP_006,NPOC_T_DP_000,TN_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,0.19,0.1,0.2,0.07,0.033,0.27,0.07,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
