# HeaderRows_12,,,,,,,,,,,
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary,,,,,,,,,,,
# Date; YYYY-MM-DD; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS real time clock.,,,,,,,,,,,
# Pressure_Slope; millibars_per_minute; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor.,,,,,,,,,,,
# Pressure_RMSE; millibars; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor.,,,,,,,,,,,
# Pressure_Mean; millibars; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor.,,,,,,,,,,,
# Pressure_Range; millibars; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with piezoresistive ceramic pressure sensor.,,,,,,,,,,,
# Air_Temperature_Slope; degree_celsius_per_minute; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with silicon thermistor.,,,,,,,,,,,
# Air_Temperature_RMSE; degree_celsius; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with silicon thermistor.,,,,,,,,,,,
# Air_Temperature_Mean; degree_celsius; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with silicon thermistor.,,,,,,,,,,,
# Air_Temperature_Range; degree_celsius; TreeRope_01; In Situ Rugged BaroTROLL 100 ABS with silicon thermistor.,,,,,,,,,,,
Site_ID,Date,Pressure_Slope,Pressure_Rsquared,Pressure_RMSE,Pressure_Mean,Pressure_Range,Air_Temperature_Slope,Air_Temperature_Rsquared,Air_Temperature_RMSE,Air_Temperature_Mean,Air_Temperature_Range
T02, 2021-09-07,-0.00012,0.67,0.175,995,1.62,0.00087,0.9,0.6,34.1,7.66
T03, 2021-09-08,-3.10E-05,0.025,0.407,980,2.55,0.00093,0.97,0.336,22.6,7.19
T05, 2021-09-08,-6.00E-05,0.35,0.179,961,1.2,0.00013,0.75,0.169,30.9,1.1
T07, 2021-09-07,-6.70E-06,0.0047,0.175,1002,1.04,5.00E-04,0.97,0.159,21.4,3.18
W10, 2021-09-14,-4.70E-05,0.13,0.24,937,2.06,0.0017,0.95,0.786,29.3,10.4
S13R, 2021-08-30,-3.30E-05,0.03,0.382,923,1.75,0.00074,0.94,0.371,17.2,4.88
S14, 2021-08-30,1.00E-04,0.14,0.536,923,3.57,0.00074,0.42,1.8,25.2,8.57
S15, 2021-09-01,-4.80E-05,0.14,0.224,935,1.42,0.00025,0.49,0.476,14,2.65
S17R, 2021-08-31,5.90E-05,0.057,0.516,931,2.32,0.00022,0.89,0.162,10.8,1.63
S18R, 2021-08-31,5.60E-05,0.24,0.18,931,1.21,-0.00034,0.92,0.184,15.4,2.17
S19, 2021-08-30,2.00E-05,0.036,0.192,932,0.892,0.0017,0.62,2.4,32.2,14.9
S19E, 2021-08-30,2.60E-05,0.08,0.174,934,0.976,-0.00032,0.92,0.185,16.5,3.01
S20R, 2021-09-02,-1.00E-04,0.51,0.186,947,1.31,0.00027,0.92,0.144,21.2,1.81
U20, 2021-09-15,0.0047,0.86,12.2,959,93.8,3.00E-04,0.17,4.28,23.7,16
W20, 2021-09-14,-0.00011,0.38,0.291,948,2.07,0.00078,0.71,1.02,29.9,6.41
