#Columns,16,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,00000_NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,Methods_Deviation
Unit,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,as_Ammonium,N/A,N/A,N/A,N/A,N/A,N/A,as_Nitrate,as_Nitrite,as_Phosphate,N/A,N/A,as_Sulfate,N/A
MethodID_Analysis,N/A,N/A,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,N/A
MethodID_Inspection,N/A,N/A,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,N/A
MethodID_Storage,N/A,N/A,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,N/A
MethodID_Preservation,N/A,N/A,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,N/A
MethodID_Preparation,N/A,N/A,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,N/A
MethodID_DataProcessing,N/A,N/A,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,N/A
Analysis_DetectionLimit,-9999,-9999,0.0157,0.00841,0.37,0.243,0.0092,-9999,0.0586,0.0253,0.00518,-9999,0.025,0.00677,0.00986,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,SPS_0001_ION-1,Liquid>aqueous,-9999,-9999,7.96,1.25,0.08,-9999,3.1,0.07,0.02,-9999,1.45,5.5,0.15,F_CV_030; SO4_CV_030
N/A,SPS_0001_ION-2,Liquid>aqueous,-9999,0.19,8.49,1.55,0.14,-9999,3.5,0.1,0.02,-9999,1.58,5.8,1.15,F_CV_030; NO3_CV_030; SO4_CV_030
N/A,SPS_0001_ION-3,Liquid>aqueous,-9999,0.17,8.37,1.94,0.16,-9999,3.47,0.06,0.02,0.5,1.54,5.58,0.43,F_CV_030; NO3_CV_030; SO4_CV_030
N/A,SPS_0003_ION-2,Liquid>aqueous,-9999,0.56,17.4,6.65,0.2,-9999,7.23,1.07,0.02,-9999,3.47,10.7,5.53,N/A
