Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
Analysis_DetectionLimit,milligrams_per_liter,Analytical detection limit.,numeric,row_header
Analysis_Precision,N/A,Precision of the data values.,numeric,row_header
AreaSqKM,square_kilometers,Area of catchment (z-score).,numeric,column_header
catchment_ID,N/A,NHDPlusV2.1 GridCode.,numeric,row_header
Cluster_num,N/A,Cluster number from 1 through 6. All NHDPlusV2.1 catchments in the Columbia River basin or Yakima River basin were grouped into classes sharing similar biophysical and hydrological characteristics and categorized according to (1) tree height (2) precipitation and (3) elevation. See Table 1 and Table S1 in the publication for more information on the number of sites in each cluster.,text,column_header
Column_or_Row_Name,N/A,Column or row headers from each csv file in the dataset.,text,column_header
Data_Orientation,N/A,"Indicates how the data are organized within the data matrix (""horizontal"" indicates data are organized in rows with row headers; ""vertical"" indicates data are organized in columns with column headers).",text,column_header
Data_Status,N/A,State of data readiness for publication and use.,text,row_header
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header
Date,YYYY-MM-DD,Data collection date.,date,column_header
Date_End,YYYY-MM-DD,The latest date in the file.,date,column_header
Date_Start,YYYY-MM-DD,The earliest date in the file.,date,column_header
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header
Depth,meters,Average upstream depth of stream. Stream depth was averaged on a daily basis over the width and length of the upstream reach as described in Appling et al. (2018b). The dataset is from the Appling et al. (2018c) data release and can be downloaded directly at https://www.sciencebase.gov/catalog/item/59bff507e4b091459a5e0982.,numeric,column_header
Description,N/A,Detailed description of sampling locations included in the referenced study. See References section in the manuscript for the full citation for the referenced study.,text,column_header
Dissolved_Oxygen_1_Mean,milligrams_per_liter,Mean dissolved oxygen from miniDOT 1.,numeric,column_header
Dissolved_Oxygen_1_NRMSE,N/A,Normalized root mean square error (NRMSE) for the linear regression of miniDOT 1 dissolved oxygen data against time.,numeric,column_header
Dissolved_Oxygen_1_Range,milligrams_per_liter,The range of dissolved oxygen from miniDOT 1 of 3 (maximum value minus the minimum value).,numeric,column_header
Dissolved_Oxygen_1_RMSE,milligrams_per_liter,The root mean square error (RMSE) for the linear regression of miniDOT 1 dissolved oxygen data against time.,numeric,column_header
Dissolved_Oxygen_1_Rsquared,N/A,R-squared value for the linear regression of miniDOT 1 dissolved oxygen data against time.,numeric,column_header
Dissolved_Oxygen_1_Slope,milligrams_per_liter_per_minute,Slope of the line for the linear regression of miniDOT 1 dissolved oxygen sample data against time.,numeric,column_header
Dissolved_Oxygen_2_Mean,milligrams_per_liter,Mean dissolved oxygen from miniDOT 2.,numeric,column_header
Dissolved_Oxygen_2_NRMSE,N/A,Normalized root mean square error (NRMSE) for the linear regression of miniDOT 2 dissolved oxygen data against time.,numeric,column_header
Dissolved_Oxygen_2_Range,milligrams_per_liter,The range of dissolved oxygen from miniDOT 2 of 3 (maximum value minus the minimum value).,numeric,column_header
Dissolved_Oxygen_2_RMSE,milligrams_per_liter,The root mean square error (RMSE) for the linear regression of miniDOT 2 dissolved oxygen data against time.,numeric,column_header
Dissolved_Oxygen_2_Rsquared,N/A,R-squared value for the linear regression of miniDOT 2 dissolved oxygen data against time.,numeric,column_header
Dissolved_Oxygen_2_Slope,milligrams_per_liter_per_minute,Slope of the line for the linear regression of miniDOT 2 dissolved oxygen sample data against time.,numeric,column_header
Dissolved_Oxygen_3_Mean,milligrams_per_liter,Mean dissolved oxygen from miniDOT 3.,numeric,column_header
Dissolved_Oxygen_3_NRMSE,N/A,Normalized root mean square error (NRMSE) for the linear regression of miniDOT 3 dissolved oxygen data against time.,numeric,column_header
Dissolved_Oxygen_3_Range,milligrams_per_liter,The range of dissolved oxygen from miniDOT 3 of 3 (maximum value minus the minimum value).,numeric,column_header
Dissolved_Oxygen_3_RMSE,milligrams_per_liter,The root mean square error (RMSE) for the linear regression of miniDOT 3 dissolved oxygen data against time.,numeric,column_header
Dissolved_Oxygen_3_Rsquared,N/A,R-squared value for the linear regression of miniDOT 3 dissolved oxygen data against time.,numeric,column_header
Dissolved_Oxygen_3_Slope,milligrams_per_liter_per_minute,Slope of the line for the linear regression of miniDOT 3 dissolved oxygen sample data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_1_Mean,percent_saturation,Mean dissolved oxygen saturation from miniDOT 1.,numeric,column_header
Dissolved_Oxygen_Saturation_1_NRMSE,N/A,Normalized root mean square error (NRMSE) for the linear regression of miniDOT 1 dissolved oxygen saturation data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_1_Range,percent_saturation,The range of dissolved oxygen saturation from miniDOT 1 of 3 (maximum value minus the minimum value).,numeric,column_header
Dissolved_Oxygen_Saturation_1_RMSE,percent_saturation,The root mean square error (RMSE) for the linear regression of miniDOT 1 dissolved oxygen saturation data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_1_Rsquared,N/A,R-squared value for the linear regression of miniDOT 1 dissolved oxygen saturation data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_1_Slope,percent_saturation_per_minute,Slope of the line for the linear regression of miniDOT 1 dissolved oxygen saturation sample data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_2_Mean,percent_saturation,Mean dissolved oxygen saturation from miniDOT 2.,numeric,column_header
Dissolved_Oxygen_Saturation_2_NRMSE,N/A,Normalized root mean square error (NRMSE) for the linear regression of miniDOT 2 dissolved oxygen saturation data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_2_Range,percent_saturation,The range of dissolved oxygen saturation from miniDOT 2 of 3 (maximum value minus the minimum value).,numeric,column_header
Dissolved_Oxygen_Saturation_2_RMSE,percent_saturation,The root mean square error (RMSE) for the linear regression of miniDOT 2 dissolved oxygen saturation data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_2_Rsquared,N/A,R-squared value for the linear regression of miniDOT 2 dissolved oxygen saturation data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_2_Slope,percent_saturation_per_minute,Slope of the line for the linear regression of miniDOT 2 dissolved oxygen saturation sample data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_3_Mean,percent_saturation,Mean dissolved oxygen saturation from miniDOT 3.,numeric,column_header
Dissolved_Oxygen_Saturation_3_NRMSE,N/A,Normalized root mean square error (NRMSE) for the linear regression of miniDOT 3 dissolved oxygen saturation data against time.,numeric,column_header
Dissolved_Oxygen_Saturation_3_Range,percent_saturation,The range of dissolved oxygen saturation from miniDOT 3 of 3 (maximum value minus the minimum value).,numeric,column_header
