File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,File_Path
readme_Laan_2025_Water_Column_Respiration_Data_Package.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information.,N/A,-9999,-9999,/
Laan_2025_Water_Column_Respiration_dd.csv,"Data dictionary that defines column and row headers across all tabular data files (files ending in "".csv"" or "".tsv"") in the data package.",ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/
Laan_2025_Water_Column_Respiration_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/
Appling_ERtot_analysis.R,R code to process and analyze daily reach-averaged ecosystem respiration (ERtot) data originally for 356 rivers and streams as described in Appling et al. (2018b; 2018c). This code uses a subset from 208 StreamPULSE sites that has been cleaned and gap-filled (Bernhardt et al. 2022) from the Appling et al. (2018b; 2018c) dataset. This code converts these data from the original areal units (grams oxygen per meter squared per day) to volumetric units (milligrams oxygen per liter per day) for comparison with water column respiration (ERwc) data observed in the Yakima River basin (this study). The output data file is used as an R input data file to Lit_Compare_MML.R to generate descriptive statistics for ERtot and the kernel density plot in Figure 2a.,N/A,-9999,-9999,/Code
ERwc_calculation.R,R code to process sensor replicate data originally given in milligrams oxygen per liter per min to mean stream ecosystem respiration in milligrams oxygen per liter per day and temperature. It also generates Supplementary Information Figure S3. The output data file is used as an R input data file to Lit_Compare_MML.R to compare to ERtot and ERlit and to generate the kernel density plot in Figure 2a. It is also used as an R input data file to RC2_SPS_LASSO_MML.R to perform LASSO regression.,N/A,-9999,-9999,/Code
Lit_Compare_MML.R,R code to compare literature values of riverine water column respiration and total ecosystem respiration to water column respiration measured in Fulton et al. (2022). It generates Figure 2 and Supplementary  Information Figure S4.,N/A,-9999,-9999,/Code
RC2_SPS_LASSO_MML.R,"R code to perform Pearson correlations and LASSO regression of water column respiration, geospatial variables, and measured analytes from Grieger et al. (2022). It generates Figure 2b and Figure 4.",N/A,-9999,-9999,/Code
ERwc_Manuscript_Map.R,R code to create map Figure S1 using site location and water column respiration (ERwc) data from this study and publicly available geospatial data.,N/A,-9999,-9999,/Code/Map_Code
Transformation_Analysis_by_Sample_sapply.R,R code to generate organic matter (OM) biochemical transformation data using Fourier-transform ion cyclotron resonance mass spectrometry (FTICR-MS) data as described in the manuscript.,N/A,-9999,-9999,/Code/OM_transformation_analysis
1_DataPreparation.R,The first of two R codes to run the Columbia River basin catchment cluster analysis as described in the manuscript. This R code will read the data into R and the user can choose which variable set to use for the cluster analysis performed in the R script 2_ClusterAnalysis.R.,N/A,-9999,-9999,/Code/Site_selection_cluster_analysis
2_ClusterAnalysis.R,The second of two R codes to run the Columbia River basin catchment cluster analysis to group Columbia River NHDPlusV2.1 catchments into six classes sharing similar characteristics as described in the manuscript. This R code runs the k-means cluster analysis using the normalized data for the variable-statistical moment combinations of 16 key biophysical and hydrological attributes. The input shapefile for this script can be located and downloaded at https://nhdplus.com/NHDPlus/NHDPlusV2_home.php Horizon Systems Corporation 2017. National Hydrography Dataset Plus. This .shp input joins with the results from 1_DataPreparation.R script. The output of this script is not included in the data package but can be generated by running this script.,N/A,-9999,-9999,/Code/Site_selection_cluster_analysis
README_site_selection_cluster_analysis.txt,Text file that describes the two R Scripts and required data files that will allow the user to run the Columbia River basin catchment cluster analysis as described in the manuscript.,N/A,-9999,-9999,/Code/Site_selection_cluster_analysis
ERwc_Mean.csv,"Mean water column respiration and temperature for 47  sites across the Yakima River basin, Washington, USA.",ESS-DIVE CSV v1,1,1,/Data
mean_ERtot_cleaned.csv,Mean areal and  volumetric total ecosystem respiration calculated from 208 sites in Bernhardt et al. (2022). Data was converted to volumetric units using depth from Appling et al. (2018).,ESS-DIVE CSV v1,1,1,/Data
ERwc_LULC_Map.qgz,QGIS project file for creating Figure 3.,N/A,-9999,-9999,/Data/Map_Layers
