"Removed St. Dev from Devol, means/st dev Quay,  small/medium/large rivers from ellis, genzoli and hall plot digitizer, gagne-maynard - might be same data as Ward 2018, take out Ward 2018 averages",,,,,,,,,,,,,,,,,,,,
Paper,River,Basin/Station,Reported_Value,Units,Rate_Conversion,Depth,Depth_Units,Respiratory_Quotient,Equation,Conversion,Conversion_Units,Time_Conversion,Time_Conversion_Units,Corrected_Value,Notes,Location_Notes,Respiration_Notes,Conversion_Description,,
Devol et al. (1995),Amazon,Marchanteria,0.5,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.38,Mean Value,"Samples taken primarily at Marchanteria time series station established by CAMREX program. On 1- occasions, samples taken at Manacapuru gauging station. No tributaries enter between the two stations, so two stations are considered equivalent. ","Respiration rates determined by decrease in oxygen conc. with time in 60 mL samples. Six 60 mL samples and three 60 mL ""poisoned (HgCl2) controls"" incubated in dark at 28 C for 6 - 10 hours. Respiration rate determined from oxygen difference between sample and control.","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Devol et al. (1995),Amazon,Marchanteria,0.1,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.08,minimum,"Samples taken primarily at Marchanteria time series station established by CAMREX program. On 1- occasions, samples taken at Manacapuru gauging station. No tributaries enter between the two stations, so two stations are considered equivalent. ","Respiration rates determined by decrease in oxygen conc. with time in 60 mL samples. Six 60 mL samples and three 60 mL ""poisoned (HgCl2) controls"" incubated in dark at 28 C for 6 - 10 hours. Respiration rate determined from oxygen difference between sample and control.","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Devol et al. (1995),Amazon,Marchanteria,1.6,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-1.23,maximum,"Samples taken primarily at Marchanteria time series station established by CAMREX program. On 1- occasions, samples taken at Manacapuru gauging station. No tributaries enter between the two stations, so two stations are considered equivalent. ","Respiration rates determined by decrease in oxygen conc. with time in 60 mL samples. Six 60 mL samples and three 60 mL ""poisoned (HgCl2) controls"" incubated in dark at 28 C for 6 - 10 hours. Respiration rate determined from oxygen difference between sample and control.","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Vargem Grande,0.15,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.12,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","20 L incubation, cruise 12 measured by Winkler titration","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Vargem Grande,0.5,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.38,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","300 mL incubation, cruise 13 measured by Winkler titration","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Xibeco,0.83,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.64,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","120 mL incubation, cruise 11, measured by pulsed electrode","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Tupe,0.95,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.73,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","120 mL incubation, cruise 11, measured by pulsed electrode","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Jutica,Amazon Tributary,1.43,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-1.1,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","120 mL incubation, cruise 11, measured by pulsed electrode","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Itapeua,1.29,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.99,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","120 mL incubation, cruise 11, measured by pulsed electrode","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Itapeua,0.51,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.39,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","300 mL incubation, cruise 13 measured by Winkler titration","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Manacapuru,0.26,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.2,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","20 L incubation, cruise 12 measured by Winkler titration","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Manacapuru,0.21,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.16,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","300 mL incubation, cruise 13 measured by Winkler titration","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Sao Jose,1.13,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.87,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","120 mL incubation, cruise 11, measured by pulsed electrode","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Paura,0.71,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.55,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","300 mL incubation, cruise 13 measured by Winkler titration","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Obidos,1.08,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.83,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","120 mL incubation, cruise 11, measured by pulsed electrode","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Obidos,0.34,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.26,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","20 L incubation, cruise 12 measured by Winkler titration","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Quay et al. (1995),Amazon,Obidos,0.33,umol O2/L/H,-1,,,,,0.032,mg O2/umol,24,H/day,-0.25,,"Samples collected on three cruises (rising water, high water, falling water) for CAMREX project. During first cruise, mainly main channel. Cruises 12 and 13 had main channel, tributaries, and varzea lakes. Respiration rates only from main channel samples.","300 mL incubation, cruise 13 measured by Winkler titration","multiply given value by -1 for methodogical differences, multiply by molar mass for umol to mg, convert H to day",,
Ellis et al. (2012),Barro Branco,Stream? Amazon Tributary?,0.014,umol CO2/m2/s,-1,0.4,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.1,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Negro,Amazon Tributary,1,umol CO2/m2/s,-1,34,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.08,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Negro,Amazon Tributary,0.8,umol CO2/m2/s,-1,34,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.07,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Catuaba,Stream? Acre Tributary?,0.024,umol CO2/m2/s,-1,0.5,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.13,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Humaita,Stream? Acre Tributary?,0.06,umol CO2/m2/s,-1,0.3,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.55,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Amazon,,4.1,umol CO2/m2/s,-1,51,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.22,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Solimoes,Amazon Tributary - upper stretch of amazon?,2.2,umol CO2/m2/s,-1,24,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.25,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
Ellis et al. (2012),Solimoes,Amazon Tributary - upper stretch of amazon?,1.9,umol CO2/m2/s,-1,24,m,1,CO2 -> C + O2?,0.032,mg O2/umol,86400,s/day,-0.22,multiply by 0.001 m3/L,"Samples collected from 10 whitewater rivers, two clear water streams, and two black water rivers in 2005 and 2006.","Respiration rates calculated by measuring consumption of oxygen over a 24 hour period in 60 mL BOD botteles. Oxygen concentrations meaured by winkler titration. To convert into CO2 production, used respiratory quotient of 1. ","multiply given value by -1 for methodogical differences, divide by depth, convert from CO2 to O2, multiply by molar mass for umol to mg, convert s to day, convert m3 to L",,
