File_Name,File_Description,Standard,Start_Date,End_Date,Missing_Value_Codes,File_Path
readme_SPS_Spatial_Sensor_v2.pdf,"Data package level readme. Contains data package summary, acknowledgements, and contact information.",N/A,-9999,-9999,N/A,/SFA_SpatialStudy_2021_SensorDataPackage/
SPS_Sensor_flmd_v2.csv,File-level metadata that lists and describes all of the files contained in the dataset.,ESS-DIVE Reporting Format for File-level Metadata (Velliquette et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/SFA_SpatialStudy_2021_SensorDataPackage/
SPS_Sensor_dd_v2.csv,Data dictionary defining column headers and other terms across the dataset.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/SFA_SpatialStudy_2021_SensorDataPackage/
SPS_Installation_Methods.csv,Description of methods associated with installation/deployment of sensors. Required by ESS-DIVE Reporting Format for Hydrologic Monitoring (Goldman et al. 2021).,ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/SFA_SpatialStudy_2021_SensorDataPackage/
SFA_Sensor_Field_Metadata.csv,Field metadata associated with the dataset.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),8/30/2021,9/15/2021,N/A; -9999,/SFA_SpatialStudy_2021_SensorDataPackage/
SPS_Ultrameter_WaterChem_Summary.csv,Water chemistry data (specific conductance; pH; total dissolved solids; and temperature) and statistics (e.g. mean; range; and outlier) collected using an Ultrameter II 6PFCE with handheld sensor.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),8/30/2021,9/15/2021,N/A; -9999,/SFA_SpatialStudy_2021_SensorDataPackage/
BarotrollAtm_*.csv,Time series data for barometric pressure and air temperature collect using In Situ Rugged BaroTROLL sensors for each sampling date and location. The asterisk * refers to the site ID underscore sampling location underscore sampling date.,ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),8/30/2021,9/15/2021,N/A; -9999,/SFA_SpatialStudy_2021_SensorDataPackage/BarotrollAtm/Data/
BarotrollAtm_Summary_Statistics.csv,Summary statistics (e.g. mean; range; slope; root mean square error or RMSE; R squared) for BarotrollAtm data.,ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),8/30/2021,9/15/2021,N/A; -9999,/SFA_SpatialStudy_2021_SensorDataPackage/BarotrollAtm/Plots_and_Summary_Statistics/
BarotrollAtm_TsPlot.pdf,Time series plots with linear regression fitted line for data from BarotrollAtm sensor for each sampling date and location.,N/A,8/30/2021,9/15/2021,N/A; -9999,/SFA_SpatialStudy_2021_SensorDataPackage/BarotrollAtm/Plots_and_Summary_Statistics/
BarotrollAtm_Vplot.pdf,Violin plots for data from BarotrollAtm sensor for each sampling date and location.,N/A,8/30/2021,9/15/2021,N/A; -9999,/SFA_SpatialStudy_2021_SensorDataPackage/BarotrollAtm/Plots_and_Summary_Statistics/
