Name,Unit,Definition,Column_Long_Name,Type,Data_Type
Name,N/A,Column headers from each csv file in the dataset.,Name,Column header,text
Unit,N/A,Units that apply to a given column in the dataset.,Unit,Column header,text
Definition,N/A,Description of the information in a given column in the dataset.,Definition,Column header,text
File_Name,N/A,Name of the files in the dataset/data package.,File Name,Column header,text
File_Description,N/A,A brief description of the files in the dataset/data package.,File Description,Column header,text
Header_Orientation,N/A,Orientation of header field (horizontal or vertical),Header Orientation,Column header,text
InstallationMethod_ID,N/A,Unique user-determined ID for a method described in the InstallationMethods_Description column in InstallationMethods.csv and listed as a metadata header row term in the data files.,Installation Method ID,Column header,text
InstallationMethod_Description,N/A,Free text field to describe the sensor installation/deployment design; structure; or general information.,Installation Method Description,Column header,text
HeaderRows_*,N/A,The number of header rows in a given data file(s). In each file; the number of header rows replaces the asterisk.,N/A,Row header,text
HeaderRows_Format,N/A,Header row that explains the format of the other header rows. The format is Column_Header; Unit; InstallationMethod_ID; Instrument_Summary.,Format of Header Rows,Row header,text
DateTime,YYYY-MM-DD hh:mm:ss,Date and time of measurement completed to the known precision. Recorded in Pacific Standard Time. UTC offset is reported in the data file(s) header row for the column.,DateTime,Column header,date
Column_Long_Name,N/A,Longer human readable version of the machine readable column header.,Longer Human Readable Column Name,Column header,text
Type,N/A,Type of term (column header; row header; data flag).,Term Type,Column header,text
Data_Type,N/A,Type of data (text; numeric; date).,Data Type,Column header,text
Standard,N/A,Standard applied to the data file.,Standard,Column header,text
Contact,N/A,Contact for the file.,Contact,Column header,text
Start_Date,YYYY-MM-DD,The earliest date in the file.,Start Date,Column header,date
End_Date,YYYY-MM-DD,The latest date in the file.,End Date,Column header,date
Missing_Value_Codes,N/A,Missing value codes.,Missing Value Codes,Column header,text
Notes,N/A,Free text notes.,Notes,Column header,text
UTC_Offset,N/A,UTC offset of date/time stamp.,UTC Offset,Column header,text
Site_ID,N/A,Site ID. Three-digit alphanumeric code used to identify site.,Site ID,Column header,text
Pressure,millibars,Barometric pressure; absolute.,Barometric pressure,Column header,numeric
Pressure_Slope,millibars_per_minute,Slope of the line for the linear regression of pressure sample data against time.,Pressure versus time linear regression slope value,Column header,numeric
Pressure_Rsquared,N/A,R-squared value for the linear regression of pressure data against time.,Pressure versus time linear regression R-squared value,Column header,numeric
Pressure_RMSE,millibars,The root mean square error (RMSE) for the linear regression of pressure data against time.,Pressure versus time linear regression root mean square error (RMSE),Column header,numeric
Pressure_Mean,millibars,The sample mean pressure.,Mean pressure,Column header,numeric
Pressure_Range,millibars,The spread of pressure data values (maximum value minus the minimum value).,Pressure data range,Column header,numeric
Air_Temperature,degree_celsius,Air temperature.,Air temperature,Column header,numeric
Air_Temperature_Slope,degree_celsius_per_minute,Slope of the line for the linear regression of air temperature sample data against time.,Air temperature versus time linear regression slope value,Column header,numeric
Air_Temperature_Rsquared,N/A,R-squared value for the linear regression of air temperature data against time.,Air temperature versus time linear regression R-squared value,Column header,numeric
